G_PROP_0296,G183-KRUISWEG
C_PROP_9871,C718-OEUDEGHIEN
A_PROP_0195,A125-WEZEL
C_PROP_1120,C426-MAFFLE
A_PROP_5712,
C_PROP_1269,C487-NIMY_RAIL
R_PROP_0609,
O_PROP_1016,
A_PROP_9302_A,
A_PROP_9303_B,
A_PROP_9306_C,
A_PROP_9306_D,
A_PROP_9306_B,
L_PROP_0452,L309-HOUSSONLOGE
B_PROP_0123,B029-MOL_MARTINI
N_PROP_0393,N285-Highway_Dhuy
N_PROP_0394,N285-Highway_Dhuy
A_PROP_5696_B,
B_PROP_0390,B063-WSP_LIETART
G_PROP_2464,G217-HAA_BRUULSTRAAT
G_PROP_0216,G144-NAZ_GROENSTRAAT
A_PROP_5111,A31070-OUT_KONINGBOUDEWIJN
A_PROP_0495,A253-GIERLE_N132
O_PROP_0001,O001-KOR_GROTEMARKT
N_PROP_0019,N008-ANDENNE3
G_PROP_0220,G144-NAZ_GROENSTRAAT
A_PROP_9303_A,
